iter	Passed	Remaining
0	339	339180
1	626	312624
2	937	311488
3	1214	302487
4	1473	293189
5	1883	311954
6	2199	311968
7	2463	305488
8	2766	304659
9	3096	306568
10	3479	312801
11	3809	313609
12	4143	314596
13	4477	315347
14	4786	314293
15	5120	314917
16	5507	318451
17	5767	314675
18	6091	314531
19	6338	310595
20	6651	310087
21	6965	309659
22	7374	313275
23	7724	314136
24	8031	313236
25	8355	312996
26	8714	314042
27	8999	312412
28	9476	317295
29	9768	315851
30	10082	315153
31	10403	314710
32	10694	313387
33	11060	314256
34	11347	312864
35	11859	317583
36	12135	315838
37	12475	315836
38	12854	316746
39	13266	318387
40	13567	317350
41	13915	317397
42	14232	316753
43	14527	315648
44	14810	314319
45	15111	313406
46	15496	314217
47	15802	313426
48	16125	312970
49	16450	312565
50	16780	312247
51	17087	311513
52	17418	311225
53	17774	311389
54	18057	310265
55	18384	309915
56	18763	310425
57	19053	309461
58	19377	309051
59	19737	309222
60	20027	308297
61	20318	307393
62	20652	307160
63	20992	307018
64	21391	307705
65	21735	307596
66	22101	307770
67	22496	308336
68	22813	307817
69	23148	307541
70	23513	307668
71	23805	306822
72	24121	306306
73	24462	306106
74	24796	305820
75	25155	305834
76	25511	305808
77	25776	304696
78	26069	303922
79	26504	304799
80	26835	304470
81	27197	304475
82	27578	304694
83	28132	306779
84	28415	305881
85	28857	306697
86	29232	306771
87	29579	306552
88	29924	306306
89	30232	305686
90	30506	304726
91	30783	303823
92	31084	303154
93	31413	302773
94	31714	302123
95	31969	301042
96	32235	300092
97	32580	299870
98	32900	299428
99	33241	299170
100	33649	299517
101	33958	298965
102	34309	298788
103	34617	298242
104	34970	298081
105	35352	298158
106	35753	298391
107	36044	297703
108	36346	297106
109	36627	296353
110	36973	296118
111	37381	296379
112	37700	295930
113	38109	296184
114	38511	296367
115	38903	296473
116	39216	295964
117	39505	295287
118	39786	294554
119	40094	294024
120	40435	293742
121	40718	293039
122	40974	292149
123	41380	292331
124	41752	292264
125	42065	291784
126	42362	291197
127	42668	290681
128	42981	290211
129	43276	289618
130	43600	289226
131	43890	288611
132	44322	288930
133	44633	288451
134	44874	287526
135	44971	285701
136	45305	285388
137	45623	284982
138	45865	284101
139	46188	283731
140	46601	283903
141	47076	284449
142	47426	284224
143	47727	283712
144	48088	283556
145	48343	282779
146	48686	282512
147	48955	281822
148	49283	281475
149	49595	281043
150	49941	280795
151	50237	280269
152	50664	280476
153	50971	280011
154	51316	279759
155	51686	279636
156	52021	279327
157	52361	279041
158	52628	278366
159	52951	277997
160	53259	277545
161	53541	276963
162	53853	276537
163	54213	276354
164	54665	276642
165	54964	276144
166	55287	275777
167	55615	275430
168	55870	274722
169	56214	274458
170	56535	274081
171	56899	273909
172	57166	273277
173	57401	272493
174	57754	272272
175	58044	271752
176	58379	271446
177	58647	270833
178	59045	270817
179	59282	270065
180	59542	269422
181	59861	269049
182	60183	268687
183	60530	268439
184	60824	267955
185	61139	267568
186	61490	267337
187	61832	267062
188	62192	266870
189	62473	266336
190	62771	265873
191	63108	265580
192	63442	265276
193	63802	265077
194	64122	264712
195	64444	264355
196	64801	264139
197	65104	263705
198	65442	263415
199	65756	263025
200	66069	262632
201	66673	263392
202	66958	262884
203	67237	262358
204	67603	262167
205	67949	261902
206	68298	261645
207	68659	261433
208	68984	261086
209	69259	260549
210	69538	260026
211	69874	259721
212	70217	259442
213	70530	259052
214	70853	258695
215	71198	258425
216	71573	258257
217	71895	257900
218	72220	257554
219	72516	257105
220	72789	256572
221	73095	256163
222	73393	255724
223	73718	255383
224	74061	255100
225	74360	254667
226	74645	254188
227	75020	254016
228	75314	253571
229	75596	253084
230	75861	252542
231	76099	251916
232	76462	251702
233	76776	251326
234	77070	250888
235	77354	250420
236	77676	250071
237	77936	249528
238	78345	249461
239	78759	249405
240	79113	249157
241	79483	248960
242	79775	248517
243	80082	248125
244	80380	247701
245	80730	247443
246	81052	247093
247	81351	246678
248	81665	246308
249	81977	245931
250	82314	245631
251	82637	245289
252	82953	244924
253	83222	244424
254	83749	244680
255	84047	244263
256	84338	243826
257	84645	243438
258	84982	243134
259	85407	243081
260	85779	242878
261	86062	242419
262	86453	242266
263	86770	241906
264	87038	241409
265	87475	241378
266	87803	241047
267	88066	240539
268	88382	240178
